Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,PreferredLoginDevice_0,PreferredLoginDevice_1,PreferredLoginDevice_2,PreferredPaymentMode_0,PreferredPaymentMode_1,PreferredPaymentMode_2,PreferredPaymentMode_3,PreferredPaymentMode_4,PreferedOrderCat_0,PreferedOrderCat_1,PreferedOrderCat_2,PreferedOrderCat_3,PreferedOrderCat_4,Churn
7.0,3,14.0,0,2.0,3,3,2,1,18.0,1.0,1.0,6.0,125.78999999999999,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
7.0,2,9.0,1,2.0,3,2,1,0,19.0,1.0,1.0,2.0,137.37,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0.0,1,6.0,0,3.0,5,2,4,0,14.0,2.0,2.0,0.0,143.64,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1.0,3,22.0,1,3.0,6,1,8,1,15.0,1.0,3.0,3.0,179.4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
8.0,3,8.0,0,3.0,5,4,3,1,16.0,1.0,1.0,11.0,288.24,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
18.0,1,35.0,1,2.0,3,1,5,1,18.0,1.0,1.0,2.0,193.8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.0,3,11.0,0,3.0,4,3,1,0,18.0,0.0,1.0,0.0,129.66,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
20.0,1,25.0,0,3.0,4,3,4,0,15.0,2.0,2.0,9.0,173.1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
24.0,1,35.0,1,4.0,3,3,3,1,12.0,4.0,4.0,9.0,157.21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2.0,3,26.0,1,2.0,3,2,3,0,14.0,1.0,1.0,2.0,169.31,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1.0,1,31.0,1,3.0,4,4,3,1,18.0,1.0,2.0,1.0,149.08,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
7.0,1,35.0,1,2.0,3,3,5,0,13.0,5.0,7.0,7.0,154.29,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
9.0,2,30.0,1,2.0,3,4,2,0,16.0,0.0,1.0,4.0,121.77000000000001,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
6.0,1,6.0,0,2.0,1,4,2,1,13.0,1.0,1.0,2.0,154.88,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1.0,1,15.0,1,4.0,4,3,3,0,13.0,1.0,2.0,1.0,144.04,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
9.0,2,33.0,0,3.0,4,1,3,1,17.0,2.0,2.0,3.0,213.37,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
8.0,1,14.0,0,2.0,3,3,2,0,12.0,0.0,2.0,9.0,141.48,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19.0,1,27.0,1,4.0,6,5,4,1,19.0,2.0,2.0,8.0,233.51,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
16.0,3,12.0,1,4.0,4,4,11,1,20.0,8.0,8.0,3.0,209.46,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
22.0,1,9.0,0,2.0,4,5,5,0,25.0,1.0,1.0,2.0,147.89,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
12.0,1,7.0,0,3.0,4,5,5,0,18.0,2.0,2.0,1.0,151.19,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
8.0,3,35.0,0,4.0,5,3,3,0,22.0,2.0,2.0,8.0,192.12,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
8.0,2,32.0,0,2.0,3,1,2,1,16.0,1.0,1.0,7.0,188.37,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5.0,3,36.0,0,4.0,5,1,3,0,15.0,3.0,6.0,8.0,179.68,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0.0,1,14.0,0,2.0,4,4,2,0,19.0,2.0,4.0,3.0,123.68,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
9.0,1,14.0,0,3.0,2,5,10,0,14.0,0.0,1.0,3.0,217.13,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
8.0,1,27.0,0,2.0,3,2,2,1,25.0,0.0,1.0,7.0,140.14,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0.0,1,14.0,1,3.0,4,3,2,1,11.0,1.0,1.0,2.0,139.89,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
5.0,3,32.0,1,3.0,3,2,1,0,18.0,1.0,2.0,2.0,144.65,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5.0,3,14.0,1,3.0,5,3,5,0,16.0,3.0,6.0,3.0,148.29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3.0,3,10.0,0,3.0,4,3,6,1,19.0,2.0,2.0,1.0,177.38,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
10.0,3,9.0,0,3.0,4,1,5,0,16.0,7.0,7.0,8.0,170.02,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.0,1,14.0,1,3.0,3,1,2,0,13.0,1.0,1.0,4.0,126.47,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
5.0,1,14.0,0,3.0,4,2,3,1,15.0,3.0,5.0,11.0,196.43,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2.0,1,19.0,1,2.0,4,4,5,1,13.0,0.0,1.0,3.0,140.25,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1.0,1,11.0,1,3.0,4,1,3,1,21.0,3.0,3.0,3.0,153.75,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9.0,1,15.0,1,3.0,3,1,2,0,23.0,1.0,1.0,4.0,120.69999999999999,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2.0,3,12.0,1,4.0,4,1,3,0,15.0,1.0,2.0,3.0,174.08,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
7.0,1,6.0,1,3.0,3,1,2,0,12.0,1.0,8.0,8.0,126.91,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
8.0,3,6.0,1,2.0,3,3,10,0,11.0,3.0,6.0,9.0,147.17,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
23.0,1,25.0,1,3.0,5,3,3,1,15.0,1.0,2.0,10.0,320.02,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
15.0,1,14.0,1,2.0,3,3,5,0,13.0,1.0,1.0,0.0,139.68,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
61.0,3,28.0,0,4.0,4,1,6,1,15.0,1.0,2.0,1.0,303.75,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
29.0,1,10.0,0,3.0,3,5,5,0,15.0,4.0,4.0,2.0,299.43,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10.0,1,13.0,1,4.0,2,5,5,1,14.0,2.0,2.0,3.0,180.62,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
9.0,1,24.0,1,3.0,3,2,3,0,20.0,1.0,1.0,9.0,177.79,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
26.0,1,19.0,0,2.0,2,5,2,0,11.0,1.0,1.0,3.0,144.5,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
10.0,1,13.0,1,4.0,2,5,5,1,14.0,1.0,2.0,3.0,180.62,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8.0,2,7.0,1,4.0,5,5,11,0,15.0,3.0,4.0,3.0,229.82,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
9.0,1,18.0,1,3.0,4,3,9,1,12.0,1.0,3.0,3.0,151.6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6.0,3,17.0,1,4.0,4,1,10,0,14.0,2.0,2.0,1.0,171.48,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,1,30.0,0,3.0,4,2,3,0,23.0,2.0,2.0,3.0,153.86,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1.0,3,31.0,1,3.0,2,5,3,0,18.0,2.0,2.0,1.0,135.91,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
3.0,1,8.0,1,4.0,4,1,2,0,19.0,3.0,10.0,8.0,141.52,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
31.0,1,12.0,0,3.0,5,4,4,1,14.0,2.0,2.0,3.0,230.52,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6.0,2,8.0,1,2.0,3,3,2,0,13.0,0.0,1.0,4.0,136.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
31.0,3,36.0,1,3.0,5,2,5,0,13.0,1.0,2.0,1.0,266.18,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
8.0,1,12.0,1,3.0,5,1,3,0,15.0,1.0,5.0,14.0,164.86,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1.0,3,33.0,1,4.0,4,1,3,1,12.0,1.0,2.0,9.0,181.17,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1.0,3,26.0,1,3.0,5,4,3,1,19.0,1.0,2.0,1.0,149.13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
26.0,1,13.0,0,2.0,3,3,4,0,18.0,1.0,4.0,7.0,286.06,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
13.0,1,15.0,0,3.0,4,3,3,0,12.0,2.0,2.0,8.0,162.55,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
29.0,1,9.0,1,4.0,5,1,10,0,21.0,1.0,2.0,5.0,151.62,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
28.0,2,26.0,1,3.0,4,4,4,0,16.0,3.0,2.0,2.0,232.25,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
9.0,1,6.0,1,3.0,4,5,2,0,12.0,3.0,3.0,2.0,122.18,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0.0,3,14.0,1,2.0,2,4,1,0,22.0,0.0,1.0,2.0,148.51,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1.0,1,24.0,1,4.0,6,3,3,0,16.0,2.0,2.0,3.0,148.05,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
7.0,1,6.0,1,3.0,3,5,6,0,14.0,1.0,1.0,3.0,129.96,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
9.0,3,23.0,1,4.0,4,4,2,0,16.0,4.0,7.0,10.0,205.2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
12.0,1,19.0,0,3.0,4,4,7,1,13.0,1.0,15.0,2.0,271.23,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
29.0,1,10.0,0,3.0,3,5,5,0,15.0,0.0,4.0,2.0,299.43,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,1,9.0,1,3.0,2,2,3,0,13.0,2.0,2.0,4.0,179.72,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1.0,1,13.0,1,3.0,5,3,3,0,14.0,3.0,3.0,3.0,150.39,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1.0,1,10.0,1,3.0,2,1,3,0,23.0,2.0,2.0,8.0,169.2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8.0,1,8.0,0,3.0,3,5,3,0,11.0,1.0,1.0,0.0,150.93,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12.0,1,28.0,0,2.0,3,5,2,1,13.0,1.0,2.0,8.0,208.8,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.0,3,6.0,1,2.0,4,1,2,1,12.0,0.0,1.0,7.0,168.34,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19.0,1,8.0,1,2.0,3,1,4,0,14.0,1.0,4.0,7.0,185.78,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2.0,1,6.0,1,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143.19,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4.0,1,6.0,1,2.0,5,5,2,0,21.0,1.0,8.0,7.0,150.03,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14.0,1,7.0,1,3.0,4,4,5,0,23.0,2.0,2.0,4.0,148.87,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2.0,2,23.0,1,2.0,4,5,2,0,13.0,0.0,1.0,9.0,179.88,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
13.0,1,11.0,0,3.0,4,3,2,0,14.0,4.0,4.0,9.0,175.42,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0,3,14.0,1,2.0,4,5,7,0,17.0,1.0,1.0,2.0,153.26,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
0.0,3,26.0,0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,145.59,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4.0,1,13.0,0,2.0,3,1,2,1,14.0,4.0,4.0,10.0,171.43,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.0,1,26.0,1,3.0,3,3,4,0,12.0,1.0,1.0,0.0,198.24,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
18.0,3,15.0,0,3.0,4,3,2,0,13.0,4.0,4.0,12.0,155.93,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20.0,3,8.0,0,2.0,3,1,1,1,22.0,3.0,7.0,7.0,145.37,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7.0,1,7.0,0,3.0,2,4,3,1,14.0,2.0,2.0,3.0,179.88,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
16.0,1,14.0,0,2.0,3,4,5,0,21.0,1.0,1.0,0.0,147.65,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
19.0,1,27.0,1,4.0,4,2,2,1,15.0,1.0,2.0,11.0,259.96,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7.0,1,35.0,1,4.0,4,3,3,1,13.0,5.0,6.0,8.0,177.07,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9.0,1,25.0,1,3.0,2,5,3,0,12.0,1.0,2.0,11.0,177.08,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3.0,3,28.0,0,3.0,3,5,1,0,11.0,2.0,7.0,8.0,184.12,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
23.0,1,6.0,1,2.0,4,3,3,0,15.0,1.0,1.0,2.0,136.9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
9.0,1,24.0,0,3.0,3,1,2,0,13.0,0.0,1.0,7.0,121.53,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
5.0,3,8.0,1,2.0,3,4,1,1,13.0,1.0,1.0,2.0,140.78,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
9.0,2,9.0,1,2.0,3,4,4,1,11.0,0.0,1.0,3.0,122.77000000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3.0,1,6.0,1,2.0,5,3,4,0,21.0,1.0,1.0,2.0,138.33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0.0,3,16.0,1,2.0,3,1,2,0,13.0,0.0,1.0,2.0,146.84,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
12.0,1,10.0,1,3.0,4,3,5,0,17.0,3.0,3.0,3.0,153.21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,1,8.0,1,3.0,1,3,2,0,17.0,0.0,1.0,7.0,152.06,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10.0,1,14.0,1,4.0,4,1,4,0,19.0,2.0,2.0,2.0,171.78,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5.0,1,14.0,0,3.0,4,5,3,0,13.0,4.0,4.0,13.0,168.06,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
9.0,1,8.0,1,3.0,3,4,2,0,12.0,0.0,1.0,0.0,113.93,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
5.0,1,19.0,0,3.0,4,1,2,1,12.0,7.0,9.0,6.0,183.55,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
11.0,1,14.0,1,4.0,4,5,7,1,23.0,1.0,2.0,5.0,167.84,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
7.0,1,8.0,1,3.0,5,3,3,0,13.0,1.0,2.0,1.0,145.08,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0,1,21.0,0,3.0,4,5,1,0,19.0,0.0,7.0,3.0,147.74,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6.0,3,14.0,1,2.0,3,5,3,0,13.0,2.0,2.0,2.0,163.92,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5.0,3,25.0,1,3.0,5,3,4,0,13.0,0.0,1.0,2.0,196.1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
29.0,1,8.0,1,3.0,2,1,4,0,14.0,1.0,2.0,1.0,272.32,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1.0,1,7.0,0,4.0,5,4,3,1,12.0,1.0,3.0,3.0,145.7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
30.0,1,24.0,1,3.0,3,1,7,0,12.0,3.0,5.0,4.0,205.12,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
10.0,1,11.0,1,3.0,5,2,3,0,17.0,2.0,2.0,9.0,183.1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9.0,1,22.0,1,2.0,5,5,2,1,23.0,3.0,3.0,0.0,123.07,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
28.0,1,8.0,1,3.0,4,1,9,0,20.0,1.0,1.0,4.0,126.62,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
11.0,1,6.0,1,3.0,4,3,10,1,13.0,0.0,1.0,0.0,153.81,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1.0,1,23.0,1,3.0,4,4,4,1,14.0,2.0,2.0,3.0,148.73,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0.0,1,25.0,1,3.0,3,2,4,0,11.0,1.0,1.0,2.0,136.69,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2.0,1,6.0,1,3.0,1,3,9,1,12.0,0.0,1.0,2.0,162.94,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14.0,1,9.0,0,4.0,5,3,8,0,23.0,2.0,2.0,1.0,159.48,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3.0,1,14.0,1,3.0,5,3,2,0,25.0,0.0,1.0,9.0,126.13,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11.0,1,7.0,0,3.0,4,2,3,0,13.0,2.0,6.0,8.0,146.15,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0.0,1,14.0,0,2.0,3,4,1,0,17.0,0.0,1.0,2.0,124.22,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1.0,3,19.0,0,3.0,2,4,3,0,16.0,1.0,2.0,1.0,152.16,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
5.0,1,17.0,0,3.0,4,3,6,0,21.0,4.0,2.0,9.0,235.31,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
21.0,1,6.0,1,3.0,4,2,7,0,12.0,1.0,1.0,0.0,282.65,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8.0,1,9.0,1,4.0,4,3,4,0,12.0,2.0,2.0,3.0,165.33,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20.0,3,9.0,0,4.0,6,4,5,1,15.0,7.0,8.0,8.0,293.72,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
31.0,1,12.0,0,3.0,5,4,4,1,14.0,2.0,2.0,3.0,230.52,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.0,3,24.0,1,3.0,1,3,3,0,11.0,0.0,1.0,2.0,162.32,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4.0,3,16.0,0,2.0,3,1,3,1,11.0,0.0,1.0,4.0,165.83,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
9.0,1,6.0,0,2.0,3,4,1,0,15.0,1.0,1.0,5.0,152.28,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6.0,1,17.0,1,1.0,4,1,4,0,26.0,1.0,2.0,1.0,237.44,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
6.0,3,16.0,1,2.0,1,3,1,1,14.0,0.0,1.0,8.0,183.8,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0.0,3,15.0,1,3.0,4,5,4,0,12.0,1.0,2.0,2.0,144.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
11.0,1,7.0,1,3.0,5,3,3,0,19.0,1.0,2.0,8.0,184.93,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
6.0,1,6.0,0,3.0,2,3,5,0,19.0,1.0,1.0,5.0,261.84,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2.0,3,11.0,1,2.0,4,4,2,1,13.0,0.0,1.0,9.0,141.87,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
16.0,1,9.0,1,3.0,4,3,2,1,15.0,1.0,3.0,11.0,303.61,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
